"id","note","include_initial_balance","type","name"
"account.data_account_type_receivable","","True","receivable","Recevable"
"account.data_account_type_payable","","True","payable","Payable"
"account.data_account_type_liquidity","","True","liquidity","Banque et liquidités"
"account.data_account_type_credit_card","","True","liquidity","Carte de crédit "
"account.data_account_type_current_assets","","True","other","Actifs circulant"
"account.data_account_type_non_current_assets","","True","other","Actifs immobilisé"
"account.data_account_type_prepayments","","True","other","Prépaiements"
"account.data_account_type_fixed_assets","","True","other","Immobilisations"
"account.data_account_type_current_liabilities","","True","other","Passif circulant"
"account.data_account_type_non_current_liabilities","","True","other","Passifs financement permanant"
"account.data_account_type_equity","","True","other","Capitaux propres"
"account.data_unaffected_earnings","","True","other","Bénéfices de l'année en cours"
"account.data_account_type_other_income","","False","other","Autre revenu"
"account.data_account_type_revenue","","False","other","Produits"
"account.data_account_type_depreciation","","False","other","Amortissement"
"account.data_account_type_expenses","","False","other","Charges"
"account.data_account_type_direct_costs","","False","other","Coût des ventes"
"account.tres_actif","","False","other","Trésorerie actif"
"account.tres_passif","","False","other","Trésorerie passif"
